timestamp,open,high,low,close,volume,ticker
2024-03-01 19:55:00,179.07,179.07,179.0,179.03,13389,AAPL
2024-03-01 19:50:00,179.02,179.07,179.02,179.055,3988,AAPL
2024-03-01 19:45:00,179.05,179.07,179.02,179.07,1144,AAPL
2024-03-01 19:40:00,179.12,179.12,179.02,179.07,1661,AAPL
2024-03-01 19:35:00,179.07,179.12,179.02,179.07,2640,AAPL
2024-03-01 19:30:00,179.0,179.07,178.95,179.055,4952,AAPL
2024-03-01 19:25:00,179.01,179.03,178.97,178.985,4719,AAPL
2024-03-01 19:20:00,179.02,179.03,179.0,179.005,2234,AAPL
2024-03-01 19:15:00,179.01,179.03,179.0,179.02,1538,AAPL
2024-03-01 19:10:00,179.03,179.04,179.0,179.02,3376,AAPL
2024-03-01 19:05:00,179.03,179.04,179.01,179.03,1732,AAPL
2024-03-01 19:00:00,179.03,179.04,179.0,179.03,2872,AAPL
2024-03-01 18:55:00,179.08,179.08,179.01,179.04,8403,AAPL
2024-03-01 18:50:00,179.07,179.08,179.04,179.065,3561,AAPL
2024-03-01 18:45:00,179.1,179.12,179.05,179.08,2859,AAPL
2024-03-01 18:40:00,179.115,179.13,179.08,179.1,915,AAPL
2024-03-01 18:35:00,179.12,179.14,179.1,179.11,2886,AAPL
2024-03-01 18:30:00,179.11,179.15,179.1,179.1,1709,AAPL
2024-03-01 18:25:00,179.13,179.15,179.11,179.14,1801,AAPL
2024-03-01 18:20:00,179.12,179.15,179.11,179.12,2167,AAPL
2024-03-01 18:15:00,179.12,179.15,179.11,179.13,4438,AAPL
2024-03-01 18:10:00,179.12,179.15,179.1,179.12,4247,AAPL
2024-03-01 18:05:00,179.15,179.15,179.1,179.13,2344,AAPL
2024-03-01 18:00:00,179.05,179.15,179.04,179.125,2974,AAPL
2024-03-01 17:55:00,179.05,179.07,179.04,179.06,5515,AAPL
2024-03-01 17:50:00,179.05,179.05,179.04,179.05,5407,AAPL
2024-03-01 17:45:00,179.07,179.07,179.04,179.04,4495,AAPL
2024-03-01 17:40:00,179.07,179.07,179.06,179.07,2802,AAPL
2024-03-01 17:35:00,179.06,179.08,179.06,179.065,4960,AAPL
2024-03-01 17:30:00,179.06,179.66,179.06,179.065,249772,AAPL
2024-03-01 17:25:00,179.08,179.09,179.06,179.075,3508,AAPL
2024-03-01 17:20:00,179.04,179.756,179.04,179.08,4171,AAPL
2024-03-01 17:15:00,179.07,179.09,179.04,179.05,2654,AAPL
2024-03-01 17:10:00,179.09,179.1,179.06,179.085,5737,AAPL
2024-03-01 17:05:00,179.07,179.1,179.07,179.08,4975,AAPL
2024-03-01 17:00:00,179.05,179.1,179.03,179.085,6634,AAPL
2024-03-01 16:55:00,179.11,181.657,175.117,179.04,11148,AAPL
2024-03-01 16:50:00,179.22,179.66,171.573,179.12,10459,AAPL
2024-03-01 16:45:00,179.19,179.66,179.17,179.2,874814,AAPL
2024-03-01 16:40:00,179.23,179.23,179.09,179.19,18672,AAPL
2024-03-01 16:35:00,179.3,179.66,179.21,179.22,41892,AAPL
2024-03-01 16:30:00,179.34,179.715,179.235,179.27,116033,AAPL
2024-03-01 16:25:00,179.41,179.42,179.31,179.31,10057,AAPL
2024-03-01 16:20:00,179.41,179.44,179.37,179.42,10807,AAPL
2024-03-01 16:15:00,179.44,179.66,179.4,179.405,9548,AAPL
2024-03-01 16:10:00,179.465,179.49,179.41,179.43,5469,AAPL
2024-03-01 16:05:00,179.5,184.4,179.35,179.46,116372,AAPL
2024-03-01 16:00:00,179.64,179.66,179.475,179.495,11665027,AAPL
